run_id,order_type,step,new_class_id,new_class,forgotten_classes,class_8_accuracy,class_13_accuracy,class_48_accuracy,class_58_accuracy,class_90_accuracy,class_23_accuracy,class_33_accuracy,class_49_accuracy,class_60_accuracy,class_71_accuracy,class_15_accuracy,class_19_accuracy,class_21_accuracy,class_31_accuracy,class_38_accuracy,class_12_accuracy,class_17_accuracy,class_37_accuracy,class_68_accuracy,class_76_accuracy,vehicles_1_avg_accuracy,large_natural_outdoor_scenes_avg_accuracy,large_omni_avg_accuracy,man_made_outdoor_avg_accuracy
four_coarse_interleaved_seed1_k20,interleaved,7,19,牛 / cattle (19),"8,23,15,12,13,33,19",21.0,0.0,96.0,87.0,86.0,0.0,0.0,85.0,85.0,84.0,0.0,0.0,90.0,70.0,65.0,0.0,80.0,79.0,95.0,88.0,58.0,50.8,45.0,68.4
four_coarse_interleaved_seed1_k20,interleaved,8,17,城堡 / castle (17),"8,23,15,12,13,33,19,17",23.0,0.0,94.0,89.0,85.0,0.0,0.0,84.0,86.0,84.0,2.0,0.0,88.0,69.0,66.0,0.0,0.0,73.0,94.0,86.0,58.2,50.8,45.0,50.6
four_coarse_interleaved_seed1_k20,interleaved,9,48,摩托車 / motorcycle (48),"8,23,15,12,13,33,19,17,48",47.0,0.0,0.0,89.0,86.0,0.0,0.0,86.0,86.0,85.0,4.0,0.0,88.0,68.0,67.0,0.0,0.0,78.0,94.0,88.0,44.4,51.4,45.4,52.0
four_coarse_interleaved_seed1_k20,interleaved,10,49,山 / mountain (49),"8,23,15,12,13,33,19,17,48,49",44.0,0.0,0.0,89.0,88.0,0.0,0.0,0.0,86.0,86.0,1.0,0.0,87.0,70.0,65.0,0.0,0.0,75.0,94.0,90.0,44.2,34.4,44.6,51.8
four_coarse_interleaved_seed1_k20,interleaved,11,21,黑猩猩 / chimpanzee (21),"8,23,15,12,13,33,19,17,48,49,21",25.0,0.0,0.0,87.0,88.0,0.0,0.0,0.0,88.0,87.0,3.0,0.0,0.0,73.0,62.0,0.0,0.0,76.0,96.0,92.0,40.0,35.0,27.6,52.8
four_coarse_interleaved_seed1_k20,interleaved,12,37,房子 / house (37),"8,23,15,12,13,33,19,17,48,49,21,37",31.0,0.0,0.0,89.0,87.0,0.0,0.0,0.0,88.0,89.0,1.0,0.0,0.0,72.0,63.0,0.0,0.0,0.0,95.0,90.0,41.4,35.4,27.2,37.0
four_coarse_interleaved_seed1_k20,interleaved,13,58,皮卡車 / pickup_truck (58),"8,23,15,12,13,33,19,17,48,49,21,37,58",29.0,0.0,0.0,0.0,87.0,0.0,1.0,0.0,88.0,88.0,4.0,0.0,0.0,72.0,65.0,0.0,0.0,0.0,96.0,90.0,23.2,35.4,28.2,37.2
four_coarse_interleaved_seed1_k20,interleaved,14,60,平原 / plain (60),"8,23,15,12,13,33,19,17,48,49,21,37,58,60",27.0,0.0,0.0,0.0,87.0,0.0,1.0,0.0,0.0,89.0,1.0,0.0,1.0,69.0,67.0,0.0,0.0,0.0,96.0,90.0,22.8,18.0,27.6,37.2
four_coarse_interleaved_seed1_k20,interleaved,15,31,大象 / elephant (31),"8,23,15,12,13,33,19,17,48,49,21,37,58,60,31",29.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,92.0,2.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,96.0,92.0,23.0,18.4,13.4,37.6
four_coarse_interleaved_seed1_k20,interleaved,16,68,道路 / road (68),"8,23,15,12,13,33,19,17,48,49,21,37,58,60,31,68",35.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,94.0,1.0,0.0,2.0,0.0,64.0,0.0,0.0,0.0,0.0,92.0,24.4,18.8,13.4,18.4
